Date,Open,High,Low,Close,Adj Close,Volume
10/13/11,8996.200195,9073.200195,8857.700195,8943.5,8943.491211,227865000
10/14/11,8953.299805,9033.400391,8840.900391,8975.5,8975.491211,178735000
10/17/11,9032.5,9087.799805,8825.299805,8864.299805,8864.291016,177398000
10/18/11,8782.799805,8831.200195,8715.099609,8811.299805,8811.291016,165342000
10/19/11,8881.099609,8907.299805,8800.5,8849.5,8849.491211,189561000
10/20/11,8740.099609,8822.299805,8573.900391,8608.200195,8608.191406,236393000
10/21/11,8663.5,8891.799805,8657.099609,8853,8852.991211,226385000
10/24/11,8924.900391,8976.299805,8815.799805,8957.099609,8957.09082,153223000
10/25/11,8929.900391,8971.099609,8803.799805,8879.599609,8879.59082,169945000
10/26/11,8873.799805,8977.099609,8787.700195,8832.5,8832.491211,184485000
10/27/11,9099,9305.099609,9030.900391,9270.5,9270.490234,303581000
10/28/11,9309.400391,9351,9158.799805,9224.400391,9224.390625,268027000
10/31/11,9127.400391,9178.200195,8954.900391,8954.900391,8954.891602,190210000
11/1/11,8775.400391,8775.400391,8480.900391,8579.599609,8579.59082,270047000
11/2/11,8667.799805,8690.799805,8436,8574.5,8574.491211,206727000
11/3/11,8425,8789.700195,8407.200195,8712.599609,8712.59082,269539000
11/4/11,8800.900391,8800.900391,8514.599609,8596.400391,8596.391602,209087000
11/7/11,8436.900391,8595.900391,8311.599609,8476.400391,8476.391602,209084000
11/8/11,8471.400391,8652.099609,8466.900391,8518.5,8518.491211,162063000
11/9/11,8609.299805,8620.700195,8251,8340.599609,8340.59082,227936000
11/10/11,8226.799805,8464.5,8211.299805,8310.900391,8310.891602,191501000
11/11/11,8301.700195,8580.099609,8263.200195,8556.099609,8556.09082,192929000
11/14/11,8615.799805,8616.900391,8341.5,8372.200195,8372.191406,154797000
11/15/11,8316.700195,8333.200195,8191.700195,8237.599609,8237.59082,197888000
11/16/11,8213.400391,8415.700195,8213.299805,8304.099609,8304.09082,173684000
11/17/11,8272.400391,8335.900391,8200.299805,8270.599609,8270.59082,190560000
11/18/11,8224.599609,8361.799805,8221.700195,8310.099609,8310.09082,247998000
11/21/11,8291.299805,8303.200195,8021,8021,8020.991699,176206000
11/22/11,8088,8105.299805,7892.600098,7904.899902,7904.89209,190502000
11/23/11,7848.100098,7936.100098,7739.299805,7739.299805,7739.291992,192305000
11/24/11,7822.100098,7877.100098,7670.600098,7721.799805,7721.791992,176746000
11/25/11,7732.299805,7778.799805,7601.200195,7763.5,7763.492188,141861000
11/28/11,7881.799805,8119.899902,7858.100098,8119.899902,8119.891602,225496000
11/29/11,8072.5,8181.399902,7989.700195,8128,8127.991699,167352000
11/30/11,8033.799805,8452.799805,8017.799805,8449.5,8449.491211,332723000
12/1/11,8441,8491.5,8369.5,8421,8420.991211,176853000
12/2/11,8506.200195,8624.5,8497.299805,8558.599609,8558.59082,214198000
12/5/11,8638.200195,8738,8634.299805,8705.799805,8705.791016,179729000
12/6/11,8665.299805,8746.700195,8633.599609,8712.799805,8712.791016,135237000
12/7/11,8789.799805,8844.200195,8511.799805,8644.299805,8644.291016,262733000
12/8/11,8697.900391,8766.700195,8435.200195,8461.200195,8461.191406,244973000
12/9/11,8387.799805,8659.099609,8382.099609,8649.700195,8649.691406,211495000
12/12/11,8600.099609,8609.400391,8381,8381,8380.991211,156325000
12/13/11,8412.599609,8443.799805,8260.900391,8327.799805,8327.791016,210154000
12/14/11,8281.099609,8370.5,8182,8182,8181.991699,177401000
12/15/11,8201.299805,8313.200195,8172.600098,8250.400391,8250.391602,205005000
12/16/11,8306.799805,8322.700195,8153.100098,8203.400391,8203.391602,366661000
12/19/11,8131.399902,8354,8120.899902,8253,8252.991211,163045000
12/20/11,8247.799805,8454.400391,8215.400391,8454.400391,8454.391602,184441000
12/21/11,8535,8606.5,8317.200195,8378.400391,8378.391602,191474000
12/22/11,8401.799805,8488.799805,8401.799805,8462.900391,8462.891602,117950000
12/23/11,8539.700195,8568.5,8521.299805,8542.700195,8542.691406,76689000
12/27/11,8536.5,8585.799805,8492.900391,8529.599609,8529.59082,70029000
12/28/11,8516.900391,8560.400391,8344.900391,8358.400391,8358.391602,97456000
12/29/11,8409.5,8487.900391,8307.200195,8487.900391,8487.891602,97822000
12/30/11,8551.299805,8571.700195,8485.5,8566.299805,8566.291016,89131000
1/3/12,8739.200195,8743.299805,8597.099609,8732.400391,8732.391602,186689000
1/4/12,8683.400391,8701.299805,8526.799805,8581.799805,8581.791016,243803000
1/5/12,8598.700195,8598.700195,8301.200195,8329.599609,8329.59082,192704000
1/6/12,8369.700195,8445.900391,8233.799805,8289.099609,8289.09082,153765000
1/9/12,8314.5,8404.400391,8250.099609,8278.900391,8278.891602,173948000
1/10/12,8341.099609,8486.099609,8339,8472.900391,8472.891602,200515000
1/11/12,8463.099609,8521.200195,8371.299805,8426.799805,8426.791016,234067000
1/12/12,8455.900391,8575.900391,8419,8427,8426.991211,265513000
1/13/12,8501.099609,8548.200195,8367.400391,8450.599609,8450.59082,243066000
1/16/12,8368.400391,8483.599609,8354.599609,8449.599609,8449.59082,143473000
1/17/12,8551.299805,8575,8447.400391,8535.299805,8535.291016,203479000
1/18/12,8539.400391,8581.799805,8411,8420.700195,8420.691406,231351000
1/19/12,8464.599609,8603.799805,8433.900391,8603.799805,8603.791016,316961000
1/20/12,8610.400391,8612.400391,8526.299805,8561.900391,8561.891602,271034000
1/23/12,8552.700195,8667.5,8529.200195,8619.599609,8619.59082,219158000
1/24/12,8551.5,8597,8519,8591.400391,8591.391602,214926000
1/25/12,8618.5,8638.700195,8463,8555.400391,8555.391602,213599000
1/26/12,8594.900391,8721.599609,8583.599609,8713.799805,8713.791016,223131000
1/27/12,8670.900391,8746.599609,8624.799805,8657.299805,8657.291016,171538000
1/30/12,8588.400391,8624.200195,8496.700195,8517,8516.991211,177904000
1/31/12,8537.799805,8576.900391,8489.400391,8509.200195,8509.191406,229793000
2/1/12,8558.599609,8726.799805,8551.400391,8696.599609,8696.59082,223557000
2/2/12,8724,8782,8689.299805,8772.299805,8772.291016,210818000
2/3/12,8748.799805,8861.200195,8733.200195,8861.200195,8861.191406,260454000
2/6/12,8833.799805,8841.799805,8751.099609,8835.299805,8835.291016,179784000
2/7/12,8841.700195,8856.900391,8725.799805,8846.900391,8846.891602,178247000
2/8/12,8859.400391,8921.700195,8841.599609,8849.299805,8849.291016,199361000
2/9/12,8879,8967.400391,8868.200195,8902.099609,8902.09082,195273000
2/10/12,8851.599609,8860.400391,8746.299805,8797.099609,8797.09082,172345000
2/13/12,8856.099609,8883.299805,8772.200195,8788.299805,8788.291016,145672000
2/14/12,8760.299805,8832.799805,8721.5,8771.900391,8771.891602,149295000
2/15/12,8820.200195,8853.400391,8719.099609,8741.599609,8741.59082,151604000
2/16/12,8649.200195,8651.700195,8476.799805,8558.099609,8558.09082,305249000
2/17/12,8647.799805,8708.099609,8612.900391,8657,8656.991211,258808000
2/20/12,8726.599609,8818.099609,8715.5,8818.099609,8818.09082,161960000
2/21/12,8825.200195,8864.400391,8695.900391,8767.099609,8767.09082,190679000
2/22/12,8775.299805,8778.099609,8654.5,8657,8656.991211,179455000
2/23/12,8637.900391,8672.299805,8482.299805,8527.700195,8527.691406,249965000
2/24/12,8553.099609,8568.200195,8456.400391,8527.700195,8527.691406,193668000
2/27/12,8483.299805,8549.700195,8429.099609,8537.200195,8537.191406,169653000
2/28/12,8558.200195,8595,8461.299805,8526.700195,8526.691406,197819000
2/29/12,8538.5,8628.400391,8438.299805,8465.900391,8465.891602,234671000
3/1/12,8442,8567.799805,8401.900391,8547.700195,8547.691406,199094000
3/2/12,8566.799805,8602.200195,8520.099609,8563.400391,8563.391602,151559000
3/5/12,8514.200195,8540.599609,8421,8453.5,8453.491211,167063000
3/6/12,8423.799805,8426.400391,8166.600098,8166.600098,8166.591797,287919000
3/7/12,8164.700195,8202.200195,8081.600098,8161.799805,8161.791504,289619000
3/8/12,8221.299805,8307.400391,8147.899902,8307.400391,8307.391602,239945000
3/9/12,8321.599609,8340,8233.299805,8282.700195,8282.691406,240617000
3/12/12,8276.700195,8296.400391,8159.5,8180.200195,8180.191895,283676000
3/13/12,8243.5,8378.5,8219.200195,8376.799805,8376.791016,202583000
3/14/12,8423.400391,8499.700195,8373.400391,8391.099609,8391.09082,261394000
3/15/12,8401.400391,8429.799805,8322.099609,8426.700195,8426.691406,251306000
3/16/12,8450,8486.299805,8379.400391,8486.299805,8486.291016,424100000
3/19/12,8478.299805,8591.799805,8443.5,8591.799805,8591.791016,197670000
3/20/12,8576.700195,8606.200195,8508.299805,8567.5,8567.491211,185873000
3/21/12,8602.799805,8625.5,8432.299805,8490.900391,8490.891602,228467000
3/22/12,8449.099609,8463.400391,8311.299805,8353.599609,8353.59082,255496000
3/23/12,8360.400391,8386.799805,8192.599609,8281.799805,8281.791016,249692000
3/26/12,8310.799805,8310.799805,8114.899902,8224.700195,8224.691406,199200000
3/27/12,8284.900391,8345.700195,8131,8140.299805,8140.291504,256270000
3/28/12,8136.600098,8180.100098,7963.700195,7980.799805,7980.791504,244326000
3/29/12,7965.200195,8022.5,7866.399902,7911,7910.992188,280010000
3/30/12,7945.700195,8015.100098,7903.100098,8008,8007.991699,259621000
4/2/12,8024.700195,8042.799805,7866.799805,8042.799805,8042.791504,244563000
4/3/12,8032.200195,8072.600098,7824.5,7824.5,7824.492188,224107000
4/4/12,7809.299805,7833.700195,7634.299805,7660.700195,7660.692383,347351000
4/5/12,7681.799805,7712.799805,7545.100098,7660.5,7660.492188,194453000
4/10/12,7582.5,7633.5,7433.600098,7433.600098,7433.592773,290368000
4/11/12,7448.700195,7588.200195,7412.899902,7576.700195,7576.692383,290566000
4/12/12,7610.700195,7619.399902,7400.799805,7520,7519.992188,308033000
4/13/12,7468.700195,7485.5,7218.399902,7250.600098,7250.592773,345668000
4/16/12,7232,7331.399902,7186.600098,7209.100098,7209.092773,253824800
4/17/12,7157.799805,7373.299805,7136.799805,7373.299805,7373.29248,286424800
4/18/12,7354.5,7364,7079.200195,7079.200195,7079.192871,386705000
4/19/12,7122.100098,7151.100098,6907,6908.100098,6908.093262,380127200
4/20/12,6936.700195,7058.799805,6858.299805,7040.600098,7040.592773,405539800
4/23/12,6986.700195,6993.799805,6811.200195,6846.600098,6846.593262,323957800
4/24/12,6868.600098,7010.399902,6848.700195,6999.899902,6999.892578,280715200
4/25/12,7036.299805,7202.899902,7034,7118.899902,7118.892578,304911800
4/26/12,7151.700195,7159.799805,6955.100098,7027.100098,7027.092773,286928200
4/27/12,6906.200195,7184.799805,6840.799805,7145.799805,7145.79248,260329200
4/30/12,7182.5,7208.299805,7002,7011,7010.992676,200836800
5/2/12,7100.899902,7117.600098,6776.5,6831.899902,6831.893066,328073200
5/3/12,6868.700195,6992,6828.100098,6851.899902,6851.893066,271072800
5/4/12,6856,6989.600098,6820.399902,6876,6875.993164,238106800
5/7/12,6766.200195,7078.200195,6743.200195,7063.200195,7063.192871,205943600
5/8/12,7050.899902,7175.700195,6967.700195,7006.899902,7006.892578,265161800
5/9/12,7017,7022.299805,6732.600098,6812.700195,6812.693359,371381800
5/10/12,6905.399902,7079.399902,6843.899902,7045.700195,7045.692871,350192400
5/11/12,6958.100098,7027.299805,6789.299805,6995.600098,6995.592773,307603000
5/14/12,6896.600098,6907,6762.799805,6809.399902,6809.393066,219614600
5/15/12,6848.399902,6892.899902,6644,6700.700195,6700.693359,255003200
5/16/12,6621.299805,6758.899902,6536.200195,6611.5,6611.493164,325322000
5/17/12,6635.299805,6652.600098,6434.700195,6537.899902,6537.893066,251827000
5/18/12,6400.200195,6626.899902,6380.200195,6566.700195,6566.693359,393737600
5/21/12,6571.5,6605.5,6455.100098,6524,6523.993164,211506000
5/22/12,6565.399902,6683,6520.200195,6661.299805,6661.292969,205436400
5/23/12,6579.100098,6603.299805,6420.399902,6440.5,6440.493652,254664600
5/24/12,6495.700195,6589.299805,6357.100098,6534.399902,6534.393066,239097200
5/25/12,6542.299805,6612.799805,6458.399902,6543,6542.993164,181672000
5/28/12,6585.200195,6620.600098,6392.100098,6401.200195,6401.193848,225608000
5/29/12,6432.799805,6449.100098,6221.399902,6251.700195,6251.693848,280790600
5/30/12,6184.799805,6303.200195,6073.700195,6090.399902,6090.393555,331142800
5/31/12,6134.399902,6167.899902,6012,6089.799805,6089.793457,402042000
6/1/12,6109.700195,6152.700195,5994.100098,6065,6064.993652,347827200
6/4/12,5998.899902,6273.299805,5987.799805,6239.5,6239.493652,205104800
6/5/12,6293.200195,6332.700195,6231.299805,6267.799805,6267.793457,205623000
6/6/12,6312.600098,6465.899902,6276.200195,6418.899902,6418.893555,277318600
6/7/12,6449.100098,6538.399902,6421.5,6438.100098,6438.09375,270686000
6/8/12,6391.799805,6578.5,6323.600098,6552,6551.993164,242093600
6/11/12,6897.600098,6940.299805,6498.100098,6516.399902,6516.393066,362914400
6/12/12,6509.700195,6593.299805,6439.299805,6522.5,6522.493164,254535200
6/13/12,6529.299805,6639,6490.700195,6615.299805,6615.292969,214979800
6/14/12,6582,6696.399902,6558.600098,6696,6695.993164,219611400
6/15/12,6744,6829.799805,6659,6719,6718.993164,506761600
